"According to the Old Testament, who was the twin brother of Jacob?",Adam,Esau,Methuselah,Jonah,B,,
Which animal is associated with the beginning of an MGM film?,Tiger,Bear,Unicorn,Lion,D,,
Which legendary hero was the subject of a Disney animated feature film in 1997?,Hercules,Ulysses,Perseus,Achilles,A,,
What sort of insects are hairstreaks and fritillaries?,Butterflies,Spiders,Beetles,Ants,A,,
On which river does the city of Vienna stand?,Danube,Rhône,Rhine,Weser,A,,
What name is given to the Japanese art of swordsmanship practiced with bamboo staves?,Ju-jitsu,Aikido,Karate,Kendo,D,,
"In which sport would spoons, paternosters and lures be used?",Golf,Sailing,Target shooting,Fishing,D,,
"What does the letter ""S"" stand for in the abbreviation VHS?",Standard,Synchronization,Syndication,System,D,,
"By what name was Beijing, the capital city of China, formerly known?",Peking,Shenyang,Shanghai,Kunming,A,,
"Which adjective goes before ""Inquisition"" to give the name of a notorious ecclesiastical court?",Swiss,Swedish,Spanish,Serbian,C,,
"According to the Old Testament, Moses led the Israelites out of which country?",Turkey,Greece,Italy,Egypt,D,,
"According to the Bible, who was thrown into a den of lions?",Esau,Joseph,Saul,Daniel,D,,
"According to the Old Testament, to whom did God speak using a burning bush?",Adam,Moses,Daniel,Cain,B,,
"Which word meaning ""before"" is also the name for a superior officer in a religious house or order?",Ere,Previous,Afore,Prior,D,,
"According to the Bible, on what were the Ten Commandments written?",Parchment,Slate,Papyrus,Stone,D,,
"According to the Bible, with which weapon did David slay Goliath?",Lance,Arrow,Sling,Club,C,,
"According to the Bible, Goliath belonged to which tribe?",Brutes,Ignoramuses,Luddites,Philistines,D,,
What was the title given to past rulers of Iran?,Sheikh,Sultan,Shah,Emir,C,,
"According to the Bible, which disciple betrayed Jesus in the Garden of Gethsemane?",Judas Iscariot,Matthew,Peter,Philip,A,,
Altostratus is a type of what?,Soil type,Singing voice,Cloud formation,Musical instrument,C,,
"In the theatre, which of these is an actor who overacts?",Ham,Rasher,Gammon,Trotter,A,,
What color is the rising sun on the national flag of Japan?,Purple,Orange,Yellow,Red,D,,
What was the first name of President Mitterand of France?,Jacques,Charles,François,Edouard,C,,
What was the Emperor Napoleon I's surname?,Montparnasse,Voltaire,Bonaparte,De Beauharnais,C,,
Which comic book hero lives in Gotham City?,Aquaman,Wonder Woman,Superman,Batman,D,,
"Wolverine, Storm and Rogue are characters in which super hero team?",Y-Men,Z-Men,X-Men,W-Men,C,,
"In Arthurian legend, with whom did Sir Lancelot fall in love?",Gabrielle,Gertrude,Goldilocks,Guinevere,D,,
Luke Skywalker is a character in which science fiction film?,The Terminator,Star Wars,The Matrix,Alien,B,,
Which of these words means a small group of trees?,Hopse,Dopse,Copse,Fopse,C,,
Vienna is the capital of which country?,Switzerland,Italy,Austria,Ireland,C,,
Which of these would you need to assist you in the vault event in an athletics competition?,Ball,Bat,Pole,Puck,C,,
"Which Disney film features the song ""The Bare Necessities""?",The Jungle Book,The Lion King,Pinocchio,Bambi,A,,
The coastline of Italy is on which body of water?,Mediterranean Sea,Arabian Sea,Arctic Sea,South China Sea,A,,
"What is the name of the princess in the Disney animated film ""Aladdin""?",Saffron,Violet,Jasmine,Lavender,C,,
Julius Caesar was the ruler of which ancient empire?,Egyptian,Ottoman,Roman,British,C,,
Which board game involves removing parts of a body without making the patient's nose buzz?,Surgery,Operation,Hospital,Doctor,B,,
"Which rapper stars in the film ""8 Mile""?",Dr. Dre,Ice T,Vanilla Ice,Eminem,D,,
Who was not a Ninja Turtle?,Donatello,Giotto,Raphael,Michaelangelo,B,,
"The fifth Harry Potter book is ""Harry Potter and the Order of the ...""?",Unicorn,Sphinx,Dragon,Phoenix,D,,
What name is given to the part of a golf club connecting the head to the grip?,Pole,Link,Shaft,Rod,C,,
"Which ""baby doctor"" won an Olympic gold medal for rowing in 1924?",Kirk,Spock,McCoy,Uhura,B,,
"What does the ""V"" stand for in the tech acronym DVR?",Virtual,Viewing,Video,Volume,C,,
What was Hillary Clinton's maiden name?,Rodgers,Runnels,Richards,Rodham,D,,
"What is a ""widow's peak""?",Mountain climbing tool,Type of car seat,Knight's visor,V-shaped hairline,D,,
Which of these is a controversial musical from the late 1960s?,Hair,Eyes,Teeth,Wrinkles,A,,
"In a Tchaikovsky ballet, the magician turns Princess Odette into what?",Duck,Goose,Swan,Flamingo,C,,
"For which string is Bach's famous ""air"" composed?",G string,A string,B string,F string,A,,
Eddie Murphy provides the voice of the donkey in which film?,Fantasia,Patch Adams,Chicken Run,Shrek,D,,
Which of these creatures is most accurately described as an equine quadruped?,Squid,Horse,Spider,Ostrich,B,,
Which of these animals resembles a small kangaroo?,Anteater,Koala,Sloth,Wallaby,D,,
In which ocean did the Titanic sink?,Arctic,Atlantic,Indian,Pacific,B,,
How is Tsar Peter I of Russia more commonly known?,The Liberator,The Great,The Terrible,The Mad,B,,
How many carats is pure gold?,12,18,24,30,C,,
"In total, how many planets in the solar system end with the letter S?",One,Two,Three,Four,C,,
Which chess piece can move any number of squares both in a straight line or diagonally?,Pawn,Queen,Knight,Bishop,B,,
By what name was German aviator Manfred von Richthofen better known?,The Red King,The Red Devil,The Red Baron,The Red Admiral,C,,
What is a trattoria in Italy?,Art gallery,Highway,Opera house,Restaurant,D,,
"In ""Alice's Adventures in Wonderland"", what bird does Alice use to play croquet?",Pelican,Ostrich,Flamingo,Swan,C,,
"After the flood, Noah's Ark is said to have rested on what mountain?",Sinai,Ararat,Kilimanjaro,Everest,B,,
What is the medical term for the thighbone?,Ulna,Femur,Radius,Fibula,B,,
In which Canadian province is French the only official language?,British Columbia,Quebec,Alberta,Manitoba,B,,
Saint Bernard dogs were originally bred to help travelers in which mountain range?,Alps,Pyrenees,Rockies,Andes,A,,
"According to legend, the Pied Piper of Hamelin was engaged to rid the city of what?",Rats,Snakes,Frogs,Birds,A,,
Wildebeest is another name for what African animal?,Hippopotamus,Giraffe,Hyena,Gnu,D,,
"If an animal is ""arboreal"", where is it most likely to live?",In trees,In water,In deserts,In caves,A,,
"At the start of a game of chess, there are sixteen of which piece on the board?",Pawn,Knight,Rook,Bishop,A,,
"At the beginning of a game of chess, which pieces occupy the four corners of the board?",Rooks,Pawns,Knights,Bishops,A,,
How many grams are there in a kilogram?,10,100,"1,000","10,000",C,,
Which branch of biology deals with organisms and their environment?,Zoology,Ecology,Botany,Geology,B,,
A dish cooked with browned breadcrumbs and cheese is served how?,Au fond,Au monsieur,Au gratin,Au contraire,C,,
"What capital is known as ""The Eternal City""?",Rome,Paris,London,Madrid,A,,
"Which capital city has a flat, whitish bean named after it?",Seoul,Wellington,Lima,Paris,C,,
Which of these is not a human blood group?,A,B,C,O,C,,
"Before becoming president of Russia, Vladimir Putin was an officer in which of these?",CIA,MI5,KGB,OPEC,C,,
Jane Porter was the girlfriend of which fictional strongman?,Conan,The Hulk,Tarzan,Thor,C,,
A polo match is divided into a number of...?,Chubbers,Chillies,Crackers,Chukkas,D,,
In which of these sports do competitors lie on their backs?,Slalom,Luge,Ski jumping,Curling,B,,
"In astronomy, what is a light year a measure of?",Speed,Distance,Weight,Brightness,B,,
The Mohican people are native to which continent?,Asia,Australia,North America,Europe,C,,
How many hydrogen atoms are there in each water molecule?,Zero,One,Two,Three,C,,
"On the Fahrenheit scale, what is the freezing point of water?",0°,10°,24°,32°,D,,
In which country is the vacation destination of Cancun?,Thailand,Morocco,Tunisia,Mexico,D,,
"In which of these activities might you execute a ""clean and jerk"" or a ""snatch""?",Fishing,Weightlifting,Wrestling,Soccer,B,,
What does the Japanese art of origami involve?,Flower arranging,Tree pruning,Glass blowing,Paper folding,D,,
"Geographically speaking, what is an archipelago?",River valley,Group of islands,Mountain pass,Active volcano,B,,
"In the comics, what was Spider-Man's real name?",Peter Parker,Clark Kent,Bruce Wayne,Tony Stark,A,,
"How do mathematicians describe a number multiplied by itself, and then by itself again?",Squared,Cubed,Factored,Triangulated,B,,
"In which of these games is the object hit by players sometimes known as the ""bird""?",Badminton,Tennis,Golf,Croquet,A,,
What were Spanish doubloons?,Gold coins,Infantrymen,Baggy trousers,Riding boots,A,,
"In golf, which of these is a hole which sharply changes direction?",Birdleg,Catleg,Dogleg,Horseleg,C,,
"In literature, who has school friends named Ron Weasley and Hermione Granger?",Pippi Longstocking,Paddington Bear,Winnie-the-Pooh,Harry Potter,D,,
What name is given to a material that allows an electrical current to flow through easily?,Composer,Complainer,Conductor,Controller,C,,
A cougar is a large variety of which animal?,Bird,Sheep,Cat,Trout,C,,
What type of animal is a mastiff?,Cat,Sheep,Dog,Horse,C,,
What is the capital of Russia?,Moscow,St. Petersburg,Minsk,Kiev,A,,
Napoleon was the emperor of which of these countries?,Australia,Mexico,South Africa,France,D,,
"In Asia, what is a rickshaw?",Rice dish,Palace,Temple,Vehicle,D,,
Which of these is part of a computer?,Vole,Hamster,Rat,Mouse,D,,
What is the only vowel in the second row of letters on a standard QWERTY keyboard?,O,I,A,U,C,,
"A Shakespeare play is titled ""A Midsummer Night's"" what?",Romance,Adventure,Feast,Dream,D,,
"In the radio communications alphabet, which name represents the letter ""V""?",Vincent,Verity,Victor,Violet,C,,
Which of these musicians was a member of the Beatles?,Elton John,Eric Clapton,George Harrison,Jimmy Page,C,,
The city of Glasgow is in what country?,Poland,England,Iceland,Scotland,D,,
Which of these titles was given to the kings of ancient Egypt?,Emir,Pharaoh,Ayatollah,Sheikh,B,,
Which of these is a yellow flower?,Primdaisy,Primtulip,Primcarnation,Primrose,D,,
What type of animal is the film and literature character Stuart Little?,Mouse,Rabbit,Cat,Bird,A,,
Cirrus and cumulonimbus are examples of what?,Bacteria,Insects,Clouds,Muscles,C,,
What German car manufacturer produced the Beetle?,Volkswagen,Mercedes,Opel,BMW,A,,
"A tortilla is a thin, cornmeal pancake from which country?",France,Mexico,Ireland,Italy,B,,
In which country is the Valley of the Kings located?,France,India,Greece,Egypt,D,,
"Complete the title of the novel by William Thackeray: ""Vanity..."" what?",Farm,Forest,Fair,Field,C,,
Which European capital was divided into east and west sectors from 1945 to 1990?,Paris,Athens,Rome,Berlin,D,,
A bite from which creature introduces malaria into the blood system?,Wasp,Rat,Pigeon,Mosquito,D,,
What was the first name of the country music singer whose surname was Wynette?,Patsy,Tammy,Loretta,Reba,B,,
"According to a Shakespearean quote, what did Juliet describe as ""such sweet sorrow""?",Meeting,Parting,Singing,Dancing,B,,
"Which musical instrument has an extendable slide, pushed in and out to produce different notes?",Oboe,Saxophone,Trombone,Tuba,C,,
"On the human body, the navel is a scar formed by the detachment of what?",Eustachian tube,Pulmonary vein,Carotid artery,Umbiliical cord,D,,
Maya Angelou is most closely associated with which branch of the arts?,Literature,Sculpture,Fashion,Architecture,A,,
Which one of Batman's enemies is six centuries old?,Solomon Grundy,Ra's al Ghul,Calendar Man,The Joker,B,,
"Which new ally helps Batman in the movie ""Batman and Robin""?",Robin,Batgirl,Huntress,Alfred Pennyworth,B,,
"In the animated series ""Batman Beyond,"" who reprises the role of the Black Knight?",Dick Grayson,"James Gordon, Jr.",Damian Wayne,Terry McGinnis,D,,
How does the supervillain Scarecrow make his victims paranoid?,By using reverse psychology,Through a toxin he created,With radio waves,By harassing them on the phone,B,,
"Which of these characters is not part of the ""Gotham City Sirens"" trio?",Harley Quinn,Zatanna,Poison Ivy,Catwoman,B,,
What is the name of Superman's biological father?,Jor-El,Bardock,Perry White,Elvis Presley,A,,
"In the comic ""Injustice: Gods Among Us,"" which event turns Superman into a tyrant?",Censure of the press,The death of Lois Lane,The breakup of the Justice League,Red underwear was out of stock,B,,
The Superman symbol is a Kryptonian legacy. What does it represent?,The coat of arms of the El family,The Kryptonian space program,A business logo,A colony of Krypton,A,,
"What is the name of the monster Superman confronts in ""The Death of Superman""?",Doomsday,Lobo,Brainiac,Starro,A,,
"Which event changes the chronology in the alternate history ""Superman: Red Son""?",Superman is a Soviet,Superman is a Martian,Superman does not have his normal powers,Lex Luthor is Superman,A,,
"In the ""Superman and Lois"" series, what are the names of the sons of Clark and Lois?",Ben & Jerry,Jonathan & Jordan,Lex & Lionel,Rox & Rucky,B,,
In which comic book series does Wonder Woman team up with Batman and Superman?,Heroes,Triangle,Triforce,Trinity,D,,
"In the 2017 ""Wonder Woman"" movie, in which conflict does Wonder Woman take part?",World War I,The Vietnam War,The Civil War,Star Wars,A,,
Which of Wonder Woman's enemies can become immense?,Titania,Colossa,Giganta,Cyclopa,C,,
Which supervillain was friends with Wonder Woman in the past?,Cheetah,Circe,Giganta,Morgan le Fay,A,,
Who are Wonder Woman's people?,The Sirens,The Amazons,The Valkyries,The Spartans,B,,
"In the 2014 TV series ""The Flash,"" which phrase is often repeated to Barry Allen by his allies?","""Run, Barry, run!""","""Faster and faster!""","""To infinity and beyond!""","""Excelsior!""",A,,
"In the 2014 TV series ""The Flash,"" which pair of small-screen actors end up as partners?",Wentworth Miller & Dominic Purcell,Bryan Cranston & Aaron Paul,Matthew Perry & Matt LeBlanc,Benedict Cumberbatch & Martin Freeman,A,,
Why does Barry Allen join the crime lab?,To follow in the footsteps of his father,To solve the murder of his mother,To honor a promise,To work with his idol,B,,
Which member of the Justice League has the Flash raced several times?,Batman,Green Lantern,Superman,Wonder Woman,C,,
Which nickname is the Flash sometimes given?,The Scarlet Speedster,The Crimson Racer,Rapid Red,The Vermilion Lightning,A,,
"Amongst Atlanteans, which power is unique to Aquaman?",Resistance to underwater pressure,Endurance of extreme temperatures,Mental influence over underwater life,Extreme swimming speed,C,,
"In the 2017 ""Justice League"" movie, on which tide does Aquaman arrive to help a village of fishermen?",The Jetstream,The Royal Tide,The Monsoon Tide,The Melade Tide,B,,
"Which cartoon features Mermaid Man, a parody of Aquaman?",Spongebob Squarepants,Dora the Explorer,Ben 10,Totally Spies,A,,
Which body part has Aquaman already lost?,His foot,His hand,His shoulder,His head,B,,
"In the 2018 ""Aquaman"" movie, what is the name of the monster that guards the remains of King Atlan?",The Kraken,The Karathen,Scylla,Monstro,B,,
Where is the headquarters of the IOC?,Marseille,Seville,Lausanne,Venice,C,,
Which city will host the Summer Olympics in 2028?,Beijing,Paris,Los Angeles,Madrid,C,,
Which city hosted the centennial Summer Olympic Games in 1996?,Paris,Athens,Sochi,Atlanta,D,,
Which team is nicknamed “The Dream Team”?,The US's soccer team,The US's ice hockey team,The US's basketball team,The US's weightlifting team,C,,
Which wrestler was the American flag bearer at the Sydney Olympic Games in 2000?,Rulon Gardner,Kevin Jackson,Harry Steel,Kendall Cross,A,,
Which sprinter was the 100 m gold medalist in 1992 and was disqualified in the finals four years later?,Christophe Lemaitre,Linford Christie,Usain Bolt,Justin Gatlin,B,,
"Before Laure Manaudou in 2004, who was the last French gold medalist in swimming?",Florent Manaudou,Jean Boiteux,Yannick Agnel,Amaury Leveaux,B,,
What is Americain athlete Allyson Felix's specialty?,Cornhole,Windsurfing,Greco-Roman wrestling,Track and field,D,,
"Which athlete played himself in ""Endurance"", a docudrama about his Olympic experience in 1996?",Alain Mimoun,Emil Zatopek,Haile Gebreselassie,Jonathan Edwards,C,,
Which sports make up a triathlon?,"Karate, Taekwondo, Judo","Archery, Equestrianism, Fencing","Cross country skiing, Alpine skiing, Biathlon","Swimming, Cycling, Running",D,,
In which sport did American Simone Biles win four gold medals in Rio de Janeiro in 2016?,Artistic gymnastics,Bobsledding,Fencing,Tennis,A,,
"Which American swimmer was the 100 m butterfly gold medalist in 2004, 2008, and 2012?",Pablo Morales,Franck Esposito,Michael Phelps,Ryan Lochte,C,,
Which country has won the most medals in swimming?,Greece,The United States,Great Britain,France,B,,
What are the two events in weightlifting?,Standing Lift and Prone Lift,Throw and Catch,Snatch and Clean and Jerk,Raise and Rest,C,,
On which surface do beach volleyball games take place?,On snow,On sand,On grass,On wood floors,B,,
Which equestrian event is not in the Olympic program?,Jumping,Dressage,Eventing,Hobbyhorsing,D,,
How many years is an Olympiad (the period between two editions of the Olympic Games)?,one year,four years,eight years,twenty years,B,,
What are the two official languages of the Olympic Games?,Chinese and Russian,French and English,Portuguese and German,Latin and Ancient Greek,B,,
Which Olympic symbol is passed from hand to hand during the opening ceremony?,A baton,A torch,A scepter,A magic wand,B,,
Which nationality was the unique bobsled team that inspired a Hollywood comedy?,French,German,Jamaican,Russian,C,,
Which object do curling players use to slow down or speed up a stone?,A mop,A broom,A fan,A rope,B,,
What black object do hockey players hit with their sticks?,A ball,A puck,A jack ball,A marble,B,,
What is the side part of a ski called?,The bus,The edge,The tram,The wagon,B,,
Which skier won the first gold medal for Spain in the Winter Olympics?,Francisco Fernandez-Ochoa,Rafael Nadal,Carlos Sainz,Iker Casillas,A,,
Where did the Winter Olympics take place in 1992?,Albertville,Lake Placid,Pyongyang,Sochi,A,,
Which sport does Lindsey Vonn do?,Rugby Sevens,Alpine skiing,Table tennis,Cricket,B,,
"Complete the title of the TV series ""Battlestar ...""?",Stellar,Galactica,Cosmos,Nebular,B,,
"Corgi means ""dwarf dog"" in which language?",Spanish,Italian,Welsh,Manx,C,,
Dim sum is a popular dish in which cuisine?,Chinese,Turkish,Indian,Mexican,A,,
Flora and fauna is the Latin term meaning what?,Plants and animals,Sea and sky,Land and water,Vegetable and mineral,A,,
For what would henna most commonly be used?,Flavoring stews,Coloring hair,Fertilizing soil,Cleaning drains,B,,
"Fox, Skye and Bull are all types of which dog?",Spaniel,Poodle,Collie,Terrier,D,,
Francis Ford Coppola directed three parts of which film saga?,Jaws,The Godfather,Alien,Godzilla,B,,
From whose head did William Tell shoot an apple?,His father's,His wife's,His son's,The Duke of Austria's,C,,
How is the star sign Aquarius described in the Zodiac?,Water-bearer,Tree-worshipper,Fire-eater,Seed-gatherer,A,,
How many legs does an insect have?,4,5,6,8,C,,
How many people are there in a sextet?,6,7,8,9,A,,
How much was Lee Majors' bionic astronaut worth in the title of the 1970s TV series?,"â‚¬1,000,000",$6 000 000,Â¥100,Â£5,B,,
Humpback and Orca are varieties of which sea creature?,Whale,Starfish,Seahorse,Octopus,A,,
"If someone is described as flabbergasted, what are they?",Angelic,Amazed,Argumentative,Assertive,B,,
"If something is described as ""cruciform,"" what is it shaped like?",Star,Wheel,Diamond,Cross,D,,
"If you are suffering from the ""green-eyed monster"", what emotion are you feeling?",Jealousy,Lethargy,Confusion,Amusement,A,,
"If you can't recognize a person, you're said not to know him from...who?",Aaron,Andrew,Abraham,Adam,D,,
"If you keep quiet about your talents, you are said to ""hide your light under a..."" what?",Bushel,Furlong,Cubit,Ounce,A,,
"If you wanted ""highlights,"" what would your hairdresser do to your hair?",Make it curly,Put in blond streaks,Braid it,Cut it short and spiky,B,,
"If you were born on New Year's Day, what would your birth sign be?",Virgo,Aquarius,Capricorn,Aries,C,,
"In 2010, comedian Russell Brand announced his engagement to which pop star?",Pink,Lady Gaga,Taylor Swift,Katy Perry,D,,
"In a court of law, what title is given to the person who acts as the speaker for the jury?",Foreman,Leader,Manager,Director,A,,
"In geology, what is the name of a fracture in the earth's crust?",Warp,Fault,Taint,Scratch,B,,
"In Greek mythology, Helen of Troy's face is said to have ""launched a thousand"" what?",Stars,Careers,Ships,Cannons,C,,
"In India, what is 'pachisi'?",Religious sect,Board game,Metallic fabric,Buffalo milk,B,,
"In music, who was the youngest original member of the Jackson Five?",Jackie,Tito,Jermaine,Michael,D,,
"In November 2012, whose ""Gangnam Style"" became YouTube's most-viewed video ever?",PSY,Ylvis,Lady Gaga,Rihanna,A,,
"In speech, which of these is the transposition of the initial consonants of two words with a funny result?",Bowlerism,Spoonerism,Platerism,Cupperism,B,,
"In the 1986 action film ""Top Gun"", what did Tom Cruise's character ""feel the need for""?",Height,Flight,Speed,Greed,C,,
In the Bible. which of these characters did Jesus restore to life?,Luke,Lazarus,Martha,Miriam,B,,
"In the nursery rhyme, what type of pie was Little Jack Horner eating?",Christmas,Thanksgiving,Birthday,Humble,A,,
"In the title of a popular TV show, what type of monsters does ""Buffy"" slay?",Vampires,Mummies,Ghosts,Werewolves,A,,
"In total, how many signs of the zodiac are there?",Six,Eight,Ten,Twelve,D,,
"In which decade of the 20th century does the action of the film ""Grease"" take place?",60s,40s,50s,70s,C,,
In which European city did the famed Moulin Rouge cabaret open?,Rome,Vienna,Madrid,Paris,D,,
"Of which film family were Ben Stiller, Dustin Hoffman, and Barbra Streisand members in a 2004 film?",The Tenenbaums,The Addams,The Fockers,The Von Trapps,C,,
On which TV series did Woody Harrelson play Woody the bartender?,Friends,Taxi,Cheers,Roseanne,C,,
"Once married to Marilyn Monroe, Joe DiMaggio played what sport professionally?",Baseball,Football,Hockey,Basketball,A,,
One of the world’s best-known operas is George Bizet’s ‘what’?,Caramel,Cameron,Carmel,Carmen,D,,
Oops!...I Did It Again was a hit single and album in 2000 for which singer?,Jessica Simpson,Jennifer Lopez,Christina Aguilera,Britney Spears,D,,
Popcorn is traditionally made from which grain?,Rice,Barley,Wheat,Maize,D,,
Prosecco is a sparkling wine from which country?,Italy,Spain,Portugal,France,A,,
Radioactive was a 2013 single for which band?,Think Wizards,Imagine Dragons,Picture Trolls,Suspect Elves,B,,
Rogan josh is a dish typically found in what kind of restaurant?,Chinese,Indian,French,Spanish,B,,
Sodium chloride is more commonly known by what name?,Baking powder,Salt,Bleach,Dry ice,B,,
Sugar Ray Leonard is most associated with which sport?,Bowling,Baseball,Basketball,Boxing,D,,
The 1990 film 'Green Card' was the first English-speaking role for which French performer?,Yves Montand,Catherine Deneuve,Gérard Depardieu,Vanessa Paradis,C,,
"The boxer Muhammad Ali is known for the quote ""float like a butterfly..."" and what?",Fly like a bird,Roar like a dragon,Bite like a snake,Sting like a bee,D,,
The character Penelope Pitstop featured in which television races?,Crazy,Goofy,Nutty,Wacky,D,,
The chihuahua breed of dog takes its name from a state in which country?,Canada,Mexico,Egypt,New Zealand,B,,
The Davis Cup is an annual international championship in which sport?,Golf,Tennis,Soccer,Yachting,B,,
The firms Sotheby's and Christie's are most associated with which of the following?,Antiques,Cooking,Vacations,Gardening,A,,
The Greek god Pan is depicted with the legs of which creature?,Badger,Goat,Frog,Pig,B,,
The 'Home and Away' actress Bec Cartwright married which tennis player in 2005?,Roger Federer,Lleyton Hewitt,Marat Safin,Andy Roddick,B,,
The meat pancetta is obtained from which animal?,Duck,Cow,Sheep,Pig,D,,
"The 'MMR' is a vaccine against measles, mumps and which other disease?",Chickenpox,German measles,Whooping-cough,Polio,B,,
The offense of willfully telling an untruth in a court after having taken an oath is known as what?,Treason,Perjury,Conspiracy,Arson,B,,
The Phantom Menace is a prequel to which film?,Star Trek,Indiana Jones,Jurassic Park,Star Wars,D,,
The Roman emperor Commodus was a character in which of these Oscar-winning films?,Braveheart,Gladiator,Argo,Unforgiven,B,,
The shrub leylandii is most often used for what?,Roofing,Hedges,Hats,Fodder,B,,
The song 'A Spoonful of Sugar' features in which film?,Oliver!,My Fair Lady,Chitty Chitty Bang Bang,Mary Poppins,D,,
The symbol of communism is the hammer and what?,Sickle,Scythe,Sword,Shield,A,,
"The word ""tactile"" relates to which of the senses?",Taste,Touch,Hearing,Smell,B,,
The word stiletto refers to which item of clothing?,Scarf,Hat,Pants,Shoes,D,,
The world's population reached what figure in 2011?,2 billion,4 billion,5 billion,7 billion,D,,
To which of these pop groups did singer Sting belong?,U2,Boomtown Rats,Police,Genesis,C,,
"Traditionally, what would you do with a monocle?",Eat it,Throw it,Speak into it,Look through it,D,,
UNICEF is an agency of which organization?,OPEC,EU,UN,NATO,C,,
"Used as a relaxant, the drug diazepam has what trademark name?",Valium,Valentine,Vanadium,Vaseline,A,,
Vertigo is associated with a loss of what?,Skin,Memory,Hair,Balance,D,,
Video Killed The Radio Star by The Buggles was the first video shown on which TV network in 1981?,MTV,VH1,Nickelodeon,TNN,A,,
What are sometimes worn instead of spectacles?,Contact lenses,Goggles,Face mask,Visor,A,,
What colour is the background of the Olympic flag?,Blue,White,Green,Gold,B,,
"What comes before ""Seven"" in the title of a 1960 film starring Yul Brynner?",Dangerous,Incredible,Courageous,Magnificent,D,,
What describes a woman's garment held up by a strap around the back of the neck?,Hamper,Halter,Hammer,Hanger,B,,
What do you lose if you suffer from amnesia?,Your voice,Your hair,Your sense of taste,Your memory,D,,
"What does the ""SC"" stand for in the acronym SCUBA?",Self-contained,Self-correcting,Self-controlled,Self-carried,A,,
What does the letter A stand for in the activist group PETA?,Asia,Animals,Amnesty,Actors,B,,
What is 60% written as a fraction?,4*/3,5*/3,8*/3,10*/3,B,,
What is a 'geyser'?,Spring,Valley,Volcano,Waterfall,A,,
What is a mamba?,Dance,Snake,Fruit,Whale,B,,
What is measured in kilograms?,Length,Mass,Time,Temperature,B,,
What 'is the best policy' according to the traditional proverb?,Honesty,Flattery,Brevity,Modesty,A,,
What is the boiling point of water on the Celsius scale?,86Â°,100Â°,150Â°,212Â°,B,,
What is the correct word for the feather covering of birds?,Foliage,Plumage,Haulage,Pillage,B,,
What is the name for the tissue surrounding the root of a hair?,Folderol,Foliage,Folio,Follicle,D,,
What is the name for unedited prints of a film meant for immediate viewing?,Runs,Rushes,Races,Rallies,B,,
What is the name of the bars that form the steps of a ladder?,Rangs,Rongs,Rengs,Rungs,D,,
"What is the name of the clip with long serrated 'jaws', used as a temporary connection to a battery?",Lion clip,Crocodile clip,Bear clip,Tiger clip,B,,
What is the name of the e-book reader launched by Amazon in November 2007?,Shuffle,Mixer,Tinder,Kindle,D,,
"What is the name of the killer in the ""Nightmare on Elm Street"" film series?",Mike,Mark,Freddy,Chucky,C,,
What is the technical term for the main body of an airplane?,Cockpit,Aileron,Fuselage,Aerofoil,C,,
What is the title earned by an outstanding chess player of the highest standard?,Grand Monsieur,Grand Maestro,Grand Master,Grand Marnier,C,,
What is the unit of currency in New Zealand?,Dollar,Guilder,Crown,Peso,A,,
What is usually stored in a pantry?,Clothes,Food,Cars,Hay,B,,
What kind of committee decides on an organization's priorities and manages the course of its business?,Orienteering committee,Navigating committee,Piloting committee,Steering committee,D,,
What kind of creature is the glove puppet Orville?,Monkey,Duck,Bear,Dog,B,,
What kind of drink might be a 'single malt'?,Brandy,Gin,Port,Whisky,D,,
What kind of musical instrument is a heckelphone?,Percussion,Keyboard,String,Woodwind,D,,
What kind of restaurant is most likely to offer sesame prawn toasts?,French,Indian,Chinese,Italian,C,,
What kind of transport would take part in a dogfight?,Motorcycles,Cars,Trains,Airplanes,D,,
"What kind of tree has leaves known as ""fronds""?",Palm,Spruce,Willow,Maple,A,,
What name is given to the list of passengers carried by an airplane?,Manifold,Maniform,Manifesto,Manifest,D,,
What name was given to fashionable young women of the 1920s?,Flappers,Flippers,Flubbers,Flitters,A,,
What nationality is the actor Gérard Depardieu?,German,French,Dutch,Canadian,B,,
What nationality is the Formula 1 racing driver Jacques Villeneuve?,Australian,Canadian,Swiss,Belgian,B,,
What nationality was Casanova?,Greek,Italian,Dutch,Swiss,B,,
What sort of letter is sent to break off a relationship?,Dear Jack,Dear Joe,Dear John,Dear James,C,,
What superhero was played on screen by Tobey Maguire?,Spider-Man,Superman,Batman,The Hulk,A,,
What term is used to describe the possible outcome of an illness?,Synopsis,Catharsis,Prognosis,Psychosis,C,,
What was named after its deviser Anders Celsius?,Postmarking,Temperature scale,Bicycle pump,Printing ink,B,,
What was the first name of the film director Hitchcock?,Albert,Arthur,Allan,Alfred,D,,
What was the name of the main female character in the sitcom Seinfeld?,Elaine,Sarah,Helena,Susan,A,,
What was the subject of Charles Darwin's famous theory?,Relativity,Gravity,Evolution,Light,C,,
What was the title of the 1941 film the starred Humphrey Bogart as Sam Spade?,The Siamese Falcon,The Burmese Falcon,The Maltese Falcon,The Portuguese Falcon,C,,
What word applies to a group of people at a concert or an interview with an important person?,Mob,Congregation,Audience,Multitude,C,,
What word comes after the name of this fruit to make a derogatory term for a small country dominated by foreign interests and dependent on a single export?,Executive,Government,Bourgoisie,Republic,D,,
What would an ornithologist have an interest in watching?,Birds,Insects,Planes,Trains,A,,
